epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95183,3.04582,3.68061,4.24771,0.00311,0.77358,0.01188,0.00417,2.72548,3.99677,4.15871,4e-05,4e-05,4e-05
2,13.3873,3.03642,3.65872,4.21928,0.00311,0.77358,0.01815,0.00548,2.72566,3.99802,4.1583,9.901e-05,9.901e-05,9.901e-05
3,19.9115,3.06087,3.62712,4.24518,0.00318,0.79245,0.0237,0.00793,2.7257,3.99785,4.15757,0.000156832,0.000156832,0.000156832
4,26.5888,3.11247,3.68505,4.20987,0.00326,0.81132,0.02488,0.00788,2.72506,3.99672,4.1562,0.000213466,0.000213466,0.000213466
5,33.604,3.12845,3.59946,4.18227,0.00318,0.79245,0.0305,0.00972,2.72329,3.99711,4.15359,0.000268912,0.000268912,0.000268912
6,40.2887,2.99916,3.60673,4.15402,0.00333,0.83019,0.03972,0.01128,2.71997,3.99851,4.15088,0.00032317,0.00032317,0.00032317
7,46.8758,3.0256,3.62095,4.15812,0.00326,0.81132,0.03671,0.01233,2.71481,3.99915,4.1451,0.00037624,0.00037624,0.00037624
8,53.687,3.10004,3.7156,4.17053,0.00326,0.81132,0.04764,0.01356,2.71076,3.99836,4.14123,0.000428122,0.000428122,0.000428122
9,60.3345,2.94005,3.58632,4.14101,0.00326,0.81132,0.06332,0.01956,2.70007,3.99089,4.13008,0.000478816,0.000478816,0.000478816
10,66.9877,3.07387,3.53144,4.11341,0.00333,0.83019,0.10784,0.02667,2.6932,3.98379,4.12248,0.000528322,0.000528322,0.000528322
11,73.6809,3.07469,3.68046,4.11095,0.00318,0.79245,0.06619,0.01824,2.67642,3.97887,4.10392,0.00057664,0.00057664,0.00057664
12,80.2958,3.04974,3.56526,4.1054,0.00326,0.81132,0.04172,0.00939,2.66533,3.97548,4.09161,0.00062377,0.00062377,0.00062377
13,86.8684,3.02364,3.54615,4.08989,0.00326,0.81132,0.01485,0.00531,2.63112,3.96229,4.06323,0.000669712,0.000669712,0.000669712
14,93.4847,3.14729,3.56808,4.06712,0.00326,0.81132,0.02182,0.00728,2.60375,3.94828,4.03846,0.000714466,0.000714466,0.000714466
15,100.093,3.1114,3.56801,4.0571,0.00333,0.83019,0.02592,0.00816,2.53177,3.94194,3.97412,0.000758032,0.000758032,0.000758032
16,106.616,3.08712,3.55455,4.02538,0.00326,0.81132,0.02401,0.00803,2.50361,3.93513,3.95066,0.00080041,0.00080041,0.00080041
17,113.294,2.95439,3.49215,3.96432,0.00333,0.83019,0.07322,0.02158,2.46616,3.92769,3.91233,0.0008416,0.0008416,0.0008416
18,119.694,2.83384,3.57225,3.87686,0.00333,0.83019,0.06279,0.02183,2.47248,3.90614,3.92196,0.000881602,0.000881602,0.000881602
19,126.228,2.96811,3.52188,3.89841,0.00341,0.84906,0.04499,0.01508,2.45732,3.94623,3.87266,0.000920416,0.000920416,0.000920416
20,132.671,2.83611,3.37558,3.8209,0.00333,0.83019,0.03767,0.01225,2.51742,3.82597,3.98357,0.000958042,0.000958042,0.000958042
21,139.112,3.01595,3.48415,3.86256,0.00326,0.81132,0.02891,0.00971,2.61411,3.76354,4.08705,0.00099448,0.00099448,0.00099448
22,145.648,3.08851,3.44789,3.83608,0.00326,0.81132,0.0454,0.01483,2.46883,3.88063,3.87546,0.00102973,0.00102973,0.00102973
23,152.392,2.98657,3.47714,3.84851,0.00326,0.81132,0.01582,0.00584,2.50715,3.86718,3.91271,0.00106379,0.00106379,0.00106379
24,159.086,3.00568,3.43651,3.80234,0.00333,0.83019,0.02687,0.00868,2.45214,4.03985,3.63048,0.00109667,0.00109667,0.00109667
25,165.788,2.91632,3.34417,3.76256,0.00326,0.81132,0.03517,0.01185,2.51403,4.22573,3.50893,0.00112835,0.00112835,0.00112835
26,172.319,2.89771,3.26139,3.70493,0.00333,0.83019,0.03097,0.00999,2.53058,4.3371,3.49684,0.00115885,0.00115885,0.00115885
27,179.267,2.86019,3.33982,3.72985,0.00333,0.83019,0.03059,0.00945,2.55607,4.44855,3.52141,0.00118816,0.00118816,0.00118816
28,186.267,2.8669,3.44327,3.66204,0.00617,0.77358,0.03278,0.01011,2.57926,4.70304,3.6004,0.00121628,0.00121628,0.00121628
29,193.131,2.93675,3.39704,3.70086,0.00617,0.77358,0.03278,0.01011,2.57926,4.70304,3.6004,0.00124322,0.00124322,0.00124322
30,199.86,2.99085,3.32826,3.6883,0.00356,0.88679,0.03098,0.00943,2.74979,4.15854,3.8081,0.00126896,0.00126896,0.00126896
31,206.525,2.76408,3.32034,3.62264,0.00351,0.84906,0.04214,0.01425,2.90433,3.96557,3.95359,0.00129352,0.00129352,0.00129352
32,213.242,2.95509,3.42764,3.66529,0.00333,0.83019,0.04849,0.01474,2.80713,3.9048,3.83222,0.00131689,0.00131689,0.00131689
33,219.76,2.90391,3.24516,3.61612,0.00333,0.83019,0.04849,0.01474,2.80713,3.9048,3.83222,0.00133907,0.00133907,0.00133907
34,226.335,2.76847,3.17358,3.57288,0.00341,0.84906,0.06434,0.01791,2.83762,3.91797,3.84954,0.0013466,0.0013466,0.0013466
35,232.847,2.82332,3.34094,3.61653,0.2726,0.11314,0.07702,0.02495,2.90493,3.87592,3.85722,0.0013268,0.0013268,0.0013268
36,239.85,3.06736,3.42676,3.62181,0.208,0.16362,0.09021,0.03093,2.90662,3.89825,3.81676,0.001307,0.001307,0.001307
37,246.571,2.72745,3.163,3.50766,0.208,0.16362,0.09021,0.03093,2.90662,3.89825,3.81676,0.0012872,0.0012872,0.0012872
38,253.591,2.8964,3.17851,3.55666,0.13098,0.16981,0.06942,0.02308,2.94009,4.22314,3.8604,0.0012674,0.0012674,0.0012674
39,260.475,2.91026,3.09062,3.53293,0.29407,0.11321,0.07017,0.0217,2.96484,4.41719,3.78036,0.0012476,0.0012476,0.0012476
40,267.142,2.76601,3.0912,3.49132,0.19101,0.15094,0.07225,0.02101,2.91329,4.28004,3.83317,0.0012278,0.0012278,0.0012278
41,273.692,2.77986,3.26606,3.48915,0.19101,0.15094,0.07225,0.02101,2.91329,4.28004,3.83317,0.001208,0.001208,0.001208
42,280.607,2.83282,3.13364,3.43945,0.08318,0.11321,0.05989,0.01794,2.81663,3.94555,3.80358,0.0011882,0.0011882,0.0011882
43,287.23,2.82429,3.31319,3.43675,0.17766,0.07547,0.07089,0.02319,2.66043,3.61208,3.61047,0.0011684,0.0011684,0.0011684
44,293.864,2.78018,3.31164,3.45404,0.13928,0.07547,0.08746,0.03003,2.63354,3.59139,3.49199,0.0011486,0.0011486,0.0011486
45,300.536,2.79963,3.31164,3.40552,0.13928,0.07547,0.08746,0.03003,2.63354,3.59139,3.49199,0.0011288,0.0011288,0.0011288
46,307.252,2.85229,3.24728,3.44872,0.10891,0.09434,0.08063,0.03158,2.62928,3.55266,3.52831,0.001109,0.001109,0.001109
47,314.006,2.74777,3.21281,3.42443,0.15967,0.11321,0.07138,0.02547,2.61007,3.40821,3.4422,0.0010892,0.0010892,0.0010892
48,320.833,2.77856,3.13036,3.43968,0.10471,0.11321,0.05467,0.01898,2.67728,3.59101,3.43031,0.0010694,0.0010694,0.0010694
49,327.23,2.75201,3.15018,3.36107,0.10471,0.11321,0.05467,0.01898,2.67728,3.59101,3.43031,0.0010496,0.0010496,0.0010496
50,333.759,2.71573,3.24831,3.43122,0.06791,0.11321,0.04736,0.01613,2.67894,3.78873,3.40466,0.0010298,0.0010298,0.0010298
51,340.197,2.66783,3.15992,3.35064,0.04536,0.11321,0.05031,0.01612,2.64046,3.6952,3.35829,0.00101,0.00101,0.00101
52,346.623,2.67761,2.96533,3.3902,0.07166,0.13208,0.03776,0.01269,2.64023,3.94872,3.34635,0.0009902,0.0009902,0.0009902
53,353.012,2.60825,3.06053,3.39111,0.07166,0.13208,0.03776,0.01269,2.64023,3.94872,3.34635,0.0009704,0.0009704,0.0009704
54,359.425,2.57686,3.10305,3.27537,0.2056,0.11321,0.05893,0.0171,2.66838,5.03679,3.34969,0.0009506,0.0009506,0.0009506
55,365.91,2.65757,3.07489,3.35808,0.14543,0.07547,0.05511,0.01999,2.56343,5.48628,3.28411,0.0009308,0.0009308,0.0009308
56,372.538,2.57381,3.10455,3.28832,0.1275,0.09434,0.06575,0.02369,2.49009,5.48807,3.2183,0.000911,0.000911,0.000911
57,379.206,2.66894,3.17398,3.2872,0.1275,0.09434,0.06575,0.02369,2.49009,5.48807,3.2183,0.0008912,0.0008912,0.0008912
58,385.84,2.68259,3.10085,3.271,0.12414,0.13208,0.08206,0.03189,2.50488,6.12065,3.2195,0.0008714,0.0008714,0.0008714
59,392.444,2.68528,3.07651,3.34121,0.14966,0.13208,0.08928,0.03273,2.50925,7.2441,3.23569,0.0008516,0.0008516,0.0008516
60,399.082,2.60332,3.16392,3.23514,0.23528,0.11321,0.10884,0.03777,2.48965,7.01201,3.21337,0.0008318,0.0008318,0.0008318
61,405.797,2.73112,2.91268,3.29024,0.23528,0.11321,0.10884,0.03777,2.48965,7.01201,3.21337,0.000812,0.000812,0.000812
62,412.74,2.43886,2.98126,3.22588,0.16363,0.18868,0.10916,0.03721,2.43358,6.58291,3.15867,0.0007922,0.0007922,0.0007922
63,419.384,2.54386,3.07931,3.24097,0.15456,0.22642,0.11229,0.03948,2.38122,6.20181,3.12635,0.0007724,0.0007724,0.0007724
64,426.031,2.56939,3.1108,3.18392,0.22338,0.15094,0.13417,0.05135,2.39463,5.51684,3.10609,0.0007526,0.0007526,0.0007526
65,432.881,2.55047,2.95992,3.23482,0.22338,0.15094,0.13417,0.05135,2.39463,5.51684,3.10609,0.0007328,0.0007328,0.0007328
66,439.705,2.51612,2.9557,3.18935,0.36535,0.16981,0.1628,0.05292,2.40659,4.98766,3.10567,0.000713,0.000713,0.000713
67,446.432,2.37699,2.94672,3.11919,0.42918,0.13208,0.14961,0.05097,2.40244,4.69363,3.11622,0.0006932,0.0006932,0.0006932
68,453.275,2.52217,3.00393,3.17909,0.18904,0.20755,0.15046,0.05171,2.40134,4.35927,3.14306,0.0006734,0.0006734,0.0006734
69,459.922,2.61224,2.92547,3.20479,0.18904,0.20755,0.15046,0.05171,2.40134,4.35927,3.14306,0.0006536,0.0006536,0.0006536
70,466.511,2.43869,2.99387,3.12948,0.19288,0.16981,0.13412,0.05002,2.41827,4.10844,3.1808,0.0006338,0.0006338,0.0006338
71,473.224,2.58122,2.89205,3.19387,0.18138,0.16981,0.12643,0.04469,2.44712,3.62807,3.18105,0.000614,0.000614,0.000614
72,479.866,2.42118,2.87566,3.09544,0.17109,0.16981,0.13214,0.04585,2.39358,3.35461,3.15238,0.0005942,0.0005942,0.0005942
73,486.48,2.38502,2.88139,3.06148,0.17109,0.16981,0.13214,0.04585,2.39358,3.35461,3.15238,0.0005744,0.0005744,0.0005744
74,493.113,2.54092,2.8751,3.04717,0.2211,0.30189,0.15661,0.04877,2.42195,3.22369,3.11618,0.0005546,0.0005546,0.0005546
75,499.679,2.30889,2.86026,3.0748,0.1954,0.22914,0.14119,0.04773,2.41438,3.16438,3.09876,0.0005348,0.0005348,0.0005348
76,506.321,2.58351,2.94754,3.14763,0.19121,0.18737,0.15578,0.05221,2.36294,3.20908,3.10208,0.000515,0.000515,0.000515
77,512.801,2.45947,2.93794,3.10587,0.19121,0.18737,0.15578,0.05221,2.36294,3.20908,3.10208,0.0004952,0.0004952,0.0004952
78,519.404,2.43139,2.78271,2.97129,0.24601,0.20755,0.18421,0.06434,2.26588,3.25253,3.10008,0.0004754,0.0004754,0.0004754
79,525.888,2.33661,2.89861,3.04228,0.25551,0.20755,0.18787,0.06691,2.22897,3.26939,3.1029,0.0004556,0.0004556,0.0004556
80,532.46,2.34893,2.93857,3.03109,0.22538,0.37736,0.19969,0.0736,2.24795,3.28532,3.06902,0.0004358,0.0004358,0.0004358
81,539.018,2.33831,2.84769,2.98214,0.22538,0.37736,0.19969,0.0736,2.24795,3.28532,3.06902,0.000416,0.000416,0.000416
82,545.6,2.36243,2.8405,3.01308,0.21242,0.39623,0.18615,0.07077,2.28294,3.49987,3.01853,0.0003962,0.0003962,0.0003962
83,552.167,2.38859,2.96572,3.05322,0.21687,0.35849,0.18726,0.07237,2.28195,3.61644,2.99007,0.0003764,0.0003764,0.0003764
84,558.686,2.23114,3.00048,2.94712,0.23451,0.41509,0.19708,0.07552,2.25697,3.46845,2.98123,0.0003566,0.0003566,0.0003566
85,565.257,2.3297,3.00442,2.96161,0.23451,0.41509,0.19708,0.07552,2.25697,3.46845,2.98123,0.0003368,0.0003368,0.0003368
86,572.151,2.49196,2.83257,2.99546,0.25458,0.35849,0.19635,0.08001,2.24054,3.29279,2.98797,0.000317,0.000317,0.000317
87,578.827,2.47632,2.87638,3.02571,0.25676,0.28302,0.19636,0.06958,2.24316,3.25304,3.01457,0.0002972,0.0002972,0.0002972
88,585.402,2.33984,2.81262,2.96293,0.25683,0.26415,0.19413,0.0651,2.29289,3.26278,3.06093,0.0002774,0.0002774,0.0002774
89,592.146,2.40267,2.75765,2.99685,0.25683,0.26415,0.19413,0.0651,2.29289,3.26278,3.06093,0.0002576,0.0002576,0.0002576
90,598.856,2.32179,2.75894,2.97399,0.19772,0.20755,0.1617,0.05488,2.32483,3.28575,3.10159,0.0002378,0.0002378,0.0002378
91,605.608,2.27751,3.19341,2.97971,0.20359,0.24528,0.16191,0.05251,2.30631,3.28523,3.09497,0.000218,0.000218,0.000218
92,612.395,2.21865,3.14681,2.8919,0.21796,0.24719,0.17721,0.06135,2.25147,3.25288,3.05046,0.0001982,0.0001982,0.0001982
93,618.954,2.26015,3.30709,2.96387,0.21796,0.24719,0.17721,0.06135,2.25147,3.25288,3.05046,0.0001784,0.0001784,0.0001784
94,625.52,2.16532,3.1559,2.89766,0.2339,0.30189,0.20399,0.07466,2.21758,3.20483,3.00022,0.0001586,0.0001586,0.0001586
95,632.09,2.14532,3.14574,2.99274,0.35905,0.30189,0.24565,0.09203,2.19459,3.16676,2.96193,0.0001388,0.0001388,0.0001388
96,638.758,2.15045,3.0499,2.9275,0.33606,0.32075,0.27664,0.11199,2.16597,3.10055,2.92369,0.000119,0.000119,0.000119
97,645.308,2.09286,3.01241,2.87789,0.33606,0.32075,0.27664,0.11199,2.16597,3.10055,2.92369,9.92e-05,9.92e-05,9.92e-05
98,651.878,2.25428,2.91822,2.90949,0.36553,0.37736,0.29063,0.1173,2.14608,3.05017,2.89778,7.94e-05,7.94e-05,7.94e-05
99,658.442,2.13487,3.074,2.90149,0.36385,0.37736,0.30376,0.12406,2.13951,3.02673,2.88578,5.96e-05,5.96e-05,5.96e-05
100,664.973,2.15477,3.02843,2.84612,0.33477,0.37736,0.30944,0.12716,2.1386,3.0084,2.88094,3.98e-05,3.98e-05,3.98e-05
