epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.92533,0.81893,2.67558,1.26142,0.00386,0.96226,0.09875,0.07683,0.64594,3.21423,1.16722,4e-05,4e-05,4e-05
2,13.8252,0.72388,2.63613,1.1992,0.00386,0.96226,0.52707,0.44104,0.67864,3.2069,1.18742,9.901e-05,9.901e-05,9.901e-05
3,20.593,0.82378,2.4879,1.28596,0.00386,0.96226,0.69595,0.55878,0.60107,3.26046,1.13062,0.000156832,0.000156832,0.000156832
4,28.4899,0.72041,2.34583,1.16139,0.00402,1,0.70351,0.55939,0.69635,3.30642,1.15383,0.000213466,0.000213466,0.000213466
5,35.9859,0.75626,2.23328,1.18456,0.00402,1,0.73377,0.55025,0.73613,3.25258,1.17577,0.000268912,0.000268912,0.000268912
6,43.043,0.74427,2.04177,1.19491,0.00402,1,0.71926,0.5316,0.70392,3.236,1.20378,0.00032317,0.00032317,0.00032317
7,49.9072,0.81214,2.03147,1.23258,0.00402,1,0.72869,0.5716,0.68621,3.22009,1.22639,0.00037624,0.00037624,0.00037624
8,56.6961,0.82622,1.7931,1.18494,0.00402,1,0.71518,0.54973,0.76579,3.21525,1.25842,0.000428122,0.000428122,0.000428122
9,63.3343,0.78193,1.69034,1.16157,0.00402,1,0.68324,0.46015,0.88147,3.28121,1.35161,0.000478816,0.000478816,0.000478816
10,70.0187,0.77949,1.57664,1.20421,0.13205,0.90566,0.64491,0.43575,0.908,3.28419,1.39768,0.000528322,0.000528322,0.000528322
11,76.6795,0.8002,1.63349,1.23059,1,0.18574,0.59735,0.41187,0.84898,3.23152,1.31322,0.00057664,0.00057664,0.00057664
12,83.3403,0.76557,1.50945,1.16874,0.86241,0.23685,0.61295,0.45297,0.77631,3.13022,1.28271,0.00062377,0.00062377,0.00062377
13,90.025,0.81429,1.58782,1.2401,0.837,0.30189,0.54915,0.37481,0.93908,3.20112,1.40853,0.000669712,0.000669712,0.000669712
14,96.7746,0.85104,1.50031,1.22574,0.60853,0.18868,0.4374,0.28188,1.06256,3.40697,1.51996,0.000714466,0.000714466,0.000714466
15,103.807,0.84686,1.42253,1.19456,0.52048,0.43396,0.4756,0.33151,0.94953,3.1718,1.41453,0.000758032,0.000758032,0.000758032
16,110.95,0.84926,1.45933,1.26379,0.61467,0.43396,0.578,0.41997,0.84286,3.01485,1.31214,0.00080041,0.00080041,0.00080041
17,117.852,0.82759,1.41283,1.15623,0.67944,0.58491,0.64159,0.45905,0.84052,2.78637,1.32621,0.0008416,0.0008416,0.0008416
18,124.495,0.788,1.44982,1.14775,0.6874,0.56604,0.65845,0.49818,0.86033,2.66674,1.41862,0.000881602,0.000881602,0.000881602
19,131.206,0.79991,1.31295,1.15462,0.49612,0.60377,0.50519,0.37353,0.97034,2.83634,1.54258,0.000920416,0.000920416,0.000920416
20,137.927,0.78692,1.24991,1.18928,0.48991,0.5437,0.43862,0.29428,1.15647,3.12444,1.71323,0.000958042,0.000958042,0.000958042
21,144.62,0.80318,1.28946,1.14276,0.42649,0.45283,0.34118,0.21326,1.57329,3.49625,2.1956,0.00099448,0.00099448,0.00099448
22,151.201,0.86796,1.39567,1.21097,0.38327,0.30189,0.24107,0.14941,1.7156,4.22675,2.24951,0.00102973,0.00102973,0.00102973
23,157.764,0.85109,1.41512,1.258,0.30317,0.22642,0.22122,0.1381,1.86039,4.07476,2.42968,0.00106379,0.00106379,0.00106379
24,164.378,0.79721,1.29269,1.18305,0.4807,0.34944,0.31614,0.22157,1.59234,3.51979,2.05699,0.00109667,0.00109667,0.00109667
25,170.938,0.76883,1.2812,1.20646,0.66638,0.43396,0.5216,0.40493,1.1838,3.19178,1.62048,0.00112835,0.00112835,0.00112835
26,177.617,0.77342,1.23152,1.15705,0.63389,0.49005,0.64037,0.48253,0.86483,2.84609,1.38445,0.00115885,0.00115885,0.00115885
27,184.221,0.81301,1.21069,1.19028,0.66599,0.64151,0.72175,0.46847,0.92098,2.76459,1.46797,0.00118816,0.00118816,0.00118816
28,190.832,0.81306,1.44599,1.2286,0.6482,0.6258,0.69241,0.45005,0.97085,2.6704,1.54927,0.00121628,0.00121628,0.00121628
